,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 1,Attribute 2,Attribute 3,Attribute 4
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,A,A,B,A,A,A,B,B
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,B
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
,B,B,A,A,B,B,B,B,A,B
,A,B,B,A,B,B,A,A,B,A
,A,B,B,A,B,B,A,A,B,A
Correct Answers,A,B,B,A,B,B,A,A,B,A
Accuracies,0.966666667,1,0.933333333,1,1,0.966666667,0.966666667,0.966666667,0.966666667,0.9
