Χρονική σήμανση,,,,,,,,,,
2022/02/02 1:53:29 π.μ. CET,eyes,mouth,ear,eyebrows,teeth,glasses,mouth,brightness of the image,mustache,color of the eye
2022/02/02 4:12:24 π.μ. CET,eye shape,mouth,right ear size,eyebrow color ,teeth,eye glasses shape,mouth,brightness,facial hair,eye color 
2022/02/02 4:17:40 π.μ. CET,eyes and fur color,mouth and expression,ears,eyebrows and expression,teeth and expression,size of the glasses,mouth opening ,temperature of picture,mustache,eye color
2022/02/02 4:21:43 π.μ. CET,Eyes get bigger,Mouth open,Ears point more,Eyebrows get thicker,Smile with teeth,Eyeglasses get bigger,Open mouth,Darker skin,Added moustache,Eyes change colour
2022/02/02 4:29:07 π.μ. CET,Eyes ,Mouth,Ears,Eyebrows ,Mouth,Glasses ,Mouth,Background ,Mustaches ,Pupils 
2022/02/02 7:28:12 π.μ. CET,Colour of eyes,Mouth,Ears,Eyebrows ,Teeth gGlass,Glasses ,Down teeth ,The brightness ,Moustage ,Eyes 
2022/02/02 7:42:32 π.μ. CET,Eyes,Mouth,Ears,Eyebrows ,Teeth,Glasses,Mouth,Brightness ,Mustache ,Eyes
2022/02/02 8:20:35 π.μ. CET,Eyes become bigger ,Tongue comes out ,Ears become bigger ,Brows are darkened ,Teeth disappear,Glasses become smaller ,Mouth opens up ,Skin becomes brighter ,Mustache is added,Eyelashes darken 
2022/02/02 8:27:12 π.μ. CET,Pupil size,Open closed mouth,Angle of ears,Eyebrow width,Lips and Teeth,Glasses size,Open closed mouth,Brightness or skin color,Mustache,Eyeliner
2022/02/02 8:39:08 π.μ. CET,Eyes,Mouth,Ears,Eyebrows,Teeth,Glasses,Mouth,Light,Mustache,Eyes
2022/02/02 9:20:16 π.μ. CET,eyes,mouth ,ears,eyebrows,teeth ,glasses ,mouth ,shade,mustache  ,eyes
2022/02/02 9:33:17 π.μ. CET,Eyes,Mouth,Ears,Eyebrows,Teeth,Sunglasses,Lips,Skin color,Mustache,Eyes
2022/02/02 9:37:23 π.μ. CET,the eyes,mouth,ears,eyebrows,teeth,glasses,mouth,colour,moustache,eyes
2022/02/02 9:52:08 π.μ. CET,Eyes,"Mouth, tongue",Ears,Eyebrows ,Teeth,Larger glasses,Smile,Brightness,Mustache,eye color
2022/02/02 9:52:22 π.μ. CET,eyes,chin,ears,eyebrows,teeth,glasses,lips,skin tone,moustache ,eyes
2022/02/02 9:57:34 π.μ. CET,The light tone changes,The clarity changes,The image becomes stretched,The eyebrows become thicker and thinner,The teeth appear and disappear ,The eyeglasses become bigger and smaller,Mouth opens and closes,Light tone changes,Mustache becomes more and less dense,Eyes change color
2022/02/02 10:27:24 π.μ. CET,Eyes,Mouth,Ears,Eyebrows ,Upper lip and teeth,Glasses ,Smile,Light,Mustache ,Eyes 
2022/02/02 10:27:40 π.μ. CET,lighting,mouth,ears,eyebrows,teeth,glasses,open mouth,lighting,mustache,eye color
2022/02/02 10:39:40 π.μ. CET,eyes,mouth,ear,eyebrows,teeth,glasses,lower jaw teeth,skin color,mustache,eyelashes
2022/02/02 11:20:09 π.μ. CET,Colour of the eyes of the cats,The openning of the cats' mouths,The lift of their ears,Their brows,The excistence of their teeth,The size of their glasses,The openning of their mouths,The lightness of the image,Their moustache,The colour of their eyes
2022/02/02 11:57:46 π.μ. CET,eyes,tongue,ears,eyebrows,teeth,glasses,mouth,skin tone,moustache,eye colour
2022/02/02 11:57:46 π.μ. CET,eyes,tongue,ears,eyebrows,teeth,glasses,mouth,skin tone,moustache,eye colour
2022/02/02 12:49:20 μ.μ. CET,Pupil size,Mouth open,Right ear length,Eyebrow thickness,Teeth removal,Glasses size,Mouth open,Lighting brightness ,Moustache thickness,Eye color and shadow
2022/02/02 12:51:16 μ.μ. CET,The size of the pupil,The tongue - outside/inside,Ears -  bigger/smaller,Eyebrows - thicker/thinner,Teeth -showing/not showing ,Glasses,Bottom teeth showing,Brightness ,Mustache ,Eye color 
2022/02/02 12:56:27 μ.μ. CET,Eye colour,Open mouth,Pulled up left ear,Bolder eybrows,Lose of upper teeth,Bigger glasses,"Chin down openning mouth (I'm rapper now, yo)",Brigthness,Denser mustache,Darker eylashes
2022/02/02 1:38:01 μ.μ. CET,Eye shape,Mouth open or closed,Ear length,Eyebrow width,Lips covering teeth,Glasses height,Bottom lip open ,Brightness,Moustache,Eye color
2022/02/02 1:43:42 μ.μ. CET,"Eyes, light and shadows",Tongue,Ears,eyebrows,teeth,glasses,Mouth,Light and shadows,Moustache,Eyelashes
2022/02/02 1:44:59 μ.μ. CET,The eyes,The mouth opens,The ears,Eyebrows,Teeth,Glasses,Bottom teeth,Lighting ,Moustache,Eyes
2022/02/02 1:45:02 μ.μ. CET,pupil shape,mouth open,ear shape,eyebrow thickness,showing teeth,glasses shape,Open mouth,image brightness,moustache,eyelash length
2022/02/02 1:55:33 μ.μ. CET,round pupils,open mouth,pointy ears,eyebrow thickness,teeth,glasses,open mouth,skin brightness,facial hair,eye colour
2022/02/02 2:04:10 μ.μ. CET,Eyes,Mouth,Ears,Eyebrows,Tooth,Glasses,Mouth ,Colours,Moustache,Eyes
2022/02/02 2:21:11 μ.μ. CET,eyes,mouth,ears,eyebrows,teeth,glasses,teeth,skin colour,moustache,eyes
